open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
1766620800000000,87669.44000000,87669.45000000,87640.00000000,87640.00000000,2.65890000,1766620859999999,233079.24381390,1196,0.26357000,23104.00183210,0
1766620860000000,87640.00000000,87640.00000000,87562.00000000,87588.45000000,11.25351000,1766620919999999,985840.58629890,2832,2.16090000,189222.81225600,0
1766620920000000,87588.46000000,87613.55000000,87588.45000000,87596.99000000,2.59680000,1766620979999999,227477.77404010,1705,1.38077000,120943.43214010,0
1766620980000000,87597.00000000,87607.15000000,87569.70000000,87600.00000000,5.17911000,1766621039999999,453671.03985510,1811,3.71492000,325424.20499850,0
1766621040000000,87600.01000000,87636.41000000,87600.00000000,87630.56000000,3.82861000,1766621099999999,335482.61404290,1850,1.98078000,173553.15788590,0
1766621100000000,87628.20000000,87694.66000000,87626.06000000,87694.65000000,3.28222000,1766621159999999,287726.49818310,2172,2.05808000,180413.33444400,0
1766621160000000,87694.66000000,87703.15000000,87685.00000000,87700.86000000,1.33408000,1766621219999999,116986.45143700,999,1.13948000,99920.98231130,0
1766621220000000,87700.87000000,87700.87000000,87687.45000000,87695.99000000,0.91755000,1766621279999999,80461.57927870,650,0.53197000,46648.56333870,0
1766621280000000,87695.99000000,87726.46000000,87695.99000000,87703.46000000,6.44617000,1766621339999999,565435.06820510,1704,3.45464000,303043.62618260,0
1766621340000000,87703.45000000,87718.61000000,87703.39000000,87716.79000000,2.24393000,1766621399999999,196822.08463840,1210,0.99314000,87109.77976970,0
1766621400000000,87716.79000000,87716.79000000,87716.78000000,87716.78000000,0.53021000,1766621459999999,46508.31475050,194,0.08267000,7251.54702930,0
1766621460000000,87716.79000000,87716.79000000,87716.78000000,87716.79000000,0.77268000,1766621519999999,67777.00399400,215,0.24236000,21259.04122440,0
1766621520000000,87716.78000000,87716.79000000,87625.71000000,87625.72000000,6.79778000,1766621579999999,596071.06681540,3329,1.25789000,110259.33153210,0
1766621580000000,87625.71000000,87625.71000000,87589.54000000,87606.56000000,2.01968000,1766621639999999,176917.64427170,1396,1.57994000,138392.84082530,0
1766621640000000,87606.56000000,87675.56000000,87606.56000000,87659.49000000,8.37014000,1766621699999999,733579.64758710,1788,5.08148000,445375.02218800,0
1766621700000000,87659.48000000,87699.59000000,87645.78000000,87699.59000000,9.51042000,1766621759999999,833804.49924130,1602,1.17770000,103240.21071810,0
1766621760000000,87699.59000000,87729.27000000,87693.68000000,87707.41000000,5.30883000,1766621819999999,465650.17192220,1974,1.45555000,127668.71585460,0
1766621820000000,87707.41000000,87749.00000000,87707.40000000,87721.92000000,1.36013000,1766621879999999,119329.15223200,1198,0.82965000,72785.13707110,0
1766621880000000,87721.93000000,87738.11000000,87721.92000000,87728.39000000,1.91019000,1766621939999999,167591.31290280,569,1.73285000,152032.85080110,0
1766621940000000,87728.40000000,87736.29000000,87708.00000000,87708.01000000,2.58420000,1766621999999999,226702.28731740,1734,0.47717000,41861.10877750,0
1766622000000000,87708.01000000,87734.67000000,87698.23000000,87730.83000000,4.12499000,1766622059999999,361834.95938790,1167,3.61249000,316877.19710510,0
1766622060000000,87730.83000000,87730.83000000,87705.07000000,87705.07000000,1.64738000,1766622119999999,144502.54917420,646,0.07195000,6311.64112300,0
1766622120000000,87705.08000000,87705.08000000,87688.73000000,87694.88000000,1.89956000,1766622179999999,166579.79951340,964,1.27981000,112226.27166120,0
1766622180000000,87694.88000000,87724.47000000,87694.88000000,87724.47000000,2.05320000,1766622239999999,180079.69053950,646,1.32521000,116224.33289340,0
1766622240000000,87724.47000000,87724.47000000,87688.73000000,87688.74000000,0.72293000,1766622299999999,63412.05667640,972,0.19531000,17132.55263650,0
1766622300000000,87688.73000000,87688.74000000,87641.02000000,87659.49000000,6.22713000,1766622359999999,545925.44622780,2268,2.64622000,231954.05941490,0
1766622360000000,87659.48000000,87659.49000000,87650.00000000,87659.48000000,1.21730000,1766622419999999,106705.79555330,367,0.17073000,14965.49489420,0
1766622420000000,87659.48000000,87659.49000000,87659.48000000,87659.48000000,0.26931000,1766622479999999,23607.57540820,91,0.08494000,7445.79708060,0
