open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
1761955200000000,3848.00000000,3849.98000000,3843.87000000,3846.06000000,905.62270000,1761955499999999,3483601.54720400,10544,512.73800000,1972584.67495400,0
1761955500000000,3846.07000000,3847.50000000,3842.42000000,3843.36000000,893.63010000,1761955799999999,3435596.81978200,8987,432.90380000,1664012.40529000,0
1761955800000000,3843.36000000,3845.99000000,3842.91000000,3843.40000000,381.84870000,1761956099999999,1468027.63212000,6068,224.22360000,862016.32797600,0
1761956100000000,3843.41000000,3844.48000000,3839.01000000,3839.99000000,410.74150000,1761956399999999,1577826.38114000,8331,72.13890000,277157.48895000,0
1761956400000000,3840.00000000,3842.26000000,3831.00000000,3839.30000000,1474.32690000,1761956699999999,5655308.45975100,15042,593.69910000,2277160.16708000,0
1761956700000000,3839.31000000,3843.83000000,3839.30000000,3841.62000000,525.86680000,1761956999999999,2020129.79401400,6384,329.62270000,1266100.52317500,0
1761957000000000,3841.61000000,3841.72000000,3833.94000000,3835.39000000,632.50370000,1761957299999999,2426314.03195900,12430,378.29000000,1450835.18245700,0
1761957300000000,3835.39000000,3839.87000000,3835.39000000,3838.75000000,345.97140000,1761957599999999,1327978.33501500,9003,190.22310000,730086.40110200,0
1761957600000000,3838.74000000,3842.55000000,3838.01000000,3842.55000000,276.00120000,1761957899999999,1059748.45209300,5625,194.10070000,745353.10920000,0
1761957900000000,3842.55000000,3846.34000000,3841.97000000,3846.32000000,1086.44170000,1761958199999999,4176896.80511300,9092,928.16010000,3568378.64658700,0
1761958200000000,3846.33000000,3847.64000000,3844.42000000,3844.43000000,348.41820000,1761958499999999,1340084.59761200,7492,155.92770000,599720.53970400,0
1761958500000000,3844.43000000,3849.00000000,3844.43000000,3847.52000000,256.10800000,1761958799999999,985338.15097000,4866,163.57530000,629291.63414700,0
1761958800000000,3847.52000000,3852.00000000,3845.76000000,3850.12000000,476.51820000,1761959099999999,1834545.48323400,8371,205.43950000,790872.94650900,0
1761959100000000,3850.13000000,3852.25000000,3847.88000000,3848.80000000,380.70250000,1761959399999999,1465557.00540100,6430,237.59090000,914621.56915900,0
1761959400000000,3848.79000000,3849.01000000,3847.47000000,3847.70000000,132.04090000,1761959699999999,508127.30687000,3211,40.97820000,157696.57548900,0
1761959700000000,3847.69000000,3852.00000000,3844.89000000,3847.37000000,456.49780000,1761959999999999,1756669.14971000,8413,192.16650000,739379.43266900,0
1761960000000000,3847.36000000,3849.29000000,3844.90000000,3848.54000000,380.70420000,1761960299999999,1464753.48545100,5019,223.14250000,858642.16497300,0
1761960300000000,3848.54000000,3856.00000000,3847.56000000,3855.73000000,451.50030000,1761960599999999,1739846.09978300,6384,300.39910000,1157555.69640700,0
1761960600000000,3855.74000000,3860.91000000,3852.11000000,3853.01000000,1014.49300000,1761960899999999,3913166.02060000,13199,613.77670000,2367470.29277000,0
1761960900000000,3853.01000000,3853.88000000,3847.29000000,3847.29000000,310.09290000,1761961199999999,1194393.51289700,6709,63.32370000,243837.33725000,0
1761961200000000,3847.29000000,3847.40000000,3844.19000000,3847.40000000,273.42920000,1761961499999999,1051543.86933700,4689,123.43230000,474622.63009200,0
1761961500000000,3847.41000000,3847.72000000,3843.00000000,3843.52000000,327.07090000,1761961799999999,1257770.13582600,4596,77.69820000,298735.10372000,0
